rooster, birds, animals
ceiling_fan, household_items, objects
emu, birds, animals
trilobite, marine_life, animals
nautilus, marine_life, animals
barrel, household_items, objects
strawberry, fruits, plants
kangaroo, mammals, animals
watch, accessories, objects
scorpion, insects, animals
leopards, big_cats, animals
lobster, crustaceans, marine_life
saxophone, wind_instruments, musical_instruments
electric_guitar, string_instruments, musical_instruments
umbrella, accessories, objects
cougar_body, big_cats, animals
octopus, mollusks, marine_life
beaver, mammals, animals
dolphin, mammals, animals
lotus, aquatic_plants, plants
car_side, cars, transportation
elephant, mammals, animals
stapler, office_supplies, objects
rhino, mammals, animals
headphone, audio_equipment, objects
laptop, computers, objects
bonsai, plants, nature
panda, mammals, animals
pagoda, architectural_structures, buildings
okapi, mammals, animals
cup, tableware, objects
cellphone, communication_devices, objects
accordion, wind_instruments, musical_instruments
stop_sign, traffic_signs, symbols
euphonium, brass_instruments, musical_instruments
bass, string_instruments, musical_instruments
ferry, boats, transportation
dalmatian, dogs, animals
garfield, cartoon_characters, fictional_characters
buddha, religious_figures, symbols
pyramid, architectural_structures, buildings
scissors, cutting_tools, objects
pizza, food, objects
hedgehog, mammals, animals
snoopy, cartoon_characters, fictional_characters
camera, photography_equipment, objects
revolver, firearms, objects
starfish, echinoderms, marine_life
menorah, religious_items, objects
lamp, lighting, objects
flamingo_head, birds, animals
chair, furniture, objects
crocodile_head, reptiles, animals
platypus, mammals, animals
ketch, boats, transportation
anchor, nautical_equipment, objects
mayfly, insects, animals
airplanes, aircraft, transportation
crab, crustaceans, marine_life
sea_horse, fish, marine_life
butterfly, insects, animals
pigeon, birds, animals
joshua_tree, plants, nature
binocular, optical_devices, objects
gramophone, audio_equipment, objects
gerenuk, mammals, animals
cougar_face, big_cats, animals
dragonfly, insects, animals
crayfish, crustaceans, marine_life
grand_piano, keyboard_instruments, musical_instruments
water_lilly, aquatic_plants, plants
inline_skate, sports_equipment, objects
llama, mammals, animals
flamingo, birds, animals
brain, body_parts, human_anatomy
faces, facial_features, human_anatomy
stegosaurus, dinosaurs, animals
windsor_chair, furniture, objects
cannon, firearms, objects
yin_yang, symbols, symbols
ibis, birds, animals
schooner, boats, transportation
tick, insects, animals
soccer_ball, sports_equipment, objects
wrench, tools, objects
minaret, architectural_structures, buildings
hawksbill, reptiles, animals
dollar_bill, money, objects
chandelier, lighting, objects
brontosaurus, dinosaurs, animals
wild_cat, big_cats, animals
ant, insects, animals
mandolin, string_instruments, musical_instruments
motorbikes, motor_vehicles, transportation
wheelchair, mobility_devices, objects
metronome, music_equipment, objects
crocodile, reptiles, animals
faces_easy, facial_features, human_anatomy
helicopter, aircraft, transportation
sunflower, plants, nature
ewer, tableware, objects
